time,close
2008/11/17,210.57 
2008/11/18,196.15 
2008/11/19,182.96 
2008/11/20,170.19 
2008/11/21,179.25 
2008/11/24,166.89 
2008/11/25,169.78 
2008/11/26,181.31 
2008/11/27,177.19 
2008/11/28,170.19 
2008/12/01,164.83 
2008/12/02,153.29 
2008/12/03,142.58 
2008/12/04,142.99 
2008/12/05,137.63 
2008/12/08,147.11 
2008/12/09,147.11 
2008/12/10,157.00 
2008/12/11,167.71 
2008/12/12,166.89 
2008/12/15,178.43 
2008/12/16,179.66 
2008/12/17,171.42 
2008/12/18,177.19 
2008/12/19,180.49 
2008/12/22,178.84 
2008/12/23,168.95 
2008/12/24,171.42 
2008/12/25,164.83 
2008/12/26,157.82 
2008/12/29,158.24 
2008/12/30,168.95 
2008/12/31,167.71 
2009/01/05,174.72 
2009/01/06,181.31 
2009/01/07,191.20 
2009/01/08,178.02 
2009/01/09,177.19 
2009/01/10,173.48 
2009/01/12,174.31 
2009/01/13,180.90 
2009/01/14,178.02 
2009/01/15,169.36 
2009/01/16,173.07 
2009/01/17,173.07 
2009/01/19,173.07 
2009/01/20,164.83 
2009/01/21,160.71 
2009/02/02,164.42 
2009/02/03,170.60 
2009/02/04,170.60 
2009/02/05,167.30 
2009/02/06,178.84 
2009/02/09,184.61 
2009/02/10,189.14 
2009/02/11,189.55 
2009/02/12,183.79 
2009/02/13,195.32 
2009/02/16,199.44 
2009/02/17,189.97 
2009/02/18,195.32 
2009/02/19,205.63 
2009/02/20,198.62 
2009/02/23,200.27 
2009/02/24,196.15 
2009/02/25,197.80 
2009/02/26,201.92 
2009/02/27,205.21 
2009/03/02,194.50 
2009/03/03,192.03 
2009/03/04,199.03 
2009/03/05,203.57 
2009/03/06,207.69 
2009/03/09,206.04 
2009/03/10,206.04 
2009/03/11,207.69 
2009/03/12,215.52 
2009/03/13,230.35 
2009/03/16,227.47 
2009/03/17,230.76 
2009/03/18,226.64 
2009/03/19,226.64 
2009/03/20,222.93 
2009/03/23,230.76 
2009/03/24,227.47 
2009/03/25,236.53 
2009/03/26,243.95 
2009/03/27,238.59 
2009/03/30,227.47 
2009/03/31,234.06 
2009/04/01,232.41 
2009/04/02,232.41 
2009/04/03,226.23 
2009/04/06,210.57 
2009/04/07,209.33 
2009/04/08,210.16 
2009/04/09,218.40 
2009/04/10,213.46 
2009/04/13,212.22 
2009/04/14,215.10 
2009/04/15,213.46 
2009/04/16,220.05 
2009/04/17,215.93 
2009/04/20,217.16 
2009/04/21,221.28 
2009/04/22,217.16 
2009/04/23,214.28 
2009/04/24,210.98 
2009/04/27,209.33 
2009/04/28,210.98 
